ParticipantId,Info1,Info2,Info3,TaskInfo1,TaskInfo2,TaskInfo3,TaskInfo4,First,Second,Third,Fourth,FirstName,SecondName,ThirdName,FourthName,An_1,An_2,An_3
1,a,c,b,0,1,3,2,3,2,4,1,natural,threejs,openLayers,d3,a,c,b
2,b,a,c,0,1,3,2,2,3,1,4,threejs,natural,d3,openLayers,b,a,c
3,c,a,b,2,3,1,0,4,1,3,2,openLayers,d3,natural,threejs,b,a,c
4,c,b,a,1,2,0,3,2,3,1,4,threejs,natural,d3,openLayers,b,a,c
5,b,c,a,0,1,3,2,3,4,2,1,natural,openLayers,threejs,d3,c,b,a
6,a,c,b,1,2,0,3,3,1,4,2,natural,d3,openLayers,threejs,b,a,c
7,c,b,a,3,0,2,1,1,3,2,4,d3,natural,threejs,openLayers,a,c,b
8,b,a,c,1,2,0,3,4,3,1,2,openLayers,natural,d3,threejs,b,c,a
9,c,b,a,0,1,3,2,2,3,4,1,threejs,natural,openLayers,d3,c,a,b
10,a,b,c,0,1,3,2,1,3,2,4,d3,natural,threejs,openLayers,c,a,b
11,b,c,a,1,2,0,3,4,3,1,2,openLayers,natural,d3,threejs,a,c,b
12,a,c,b,3,0,2,1,4,3,1,2,openLayers,natural,d3,threejs,a,c,b
13,b,a,c,3,0,2,1,1,2,4,3,d3,threejs,openLayers,natural,c,b,a
14,a,c,b,2,3,1,0,4,2,1,3,openLayers,threejs,d3,natural,c,b,a
15,c,b,a,2,3,1,0,3,1,4,2,natural,d3,openLayers,threejs,c,a,b
16,a,b,c,2,3,1,0,3,1,2,4,natural,d3,threejs,openLayers,c,b,a
17,b,c,a,3,0,2,1,4,3,2,1,openLayers,natural,threejs,d3,c,a,b
18,c,a,b,1,2,0,3,1,2,3,4,d3,threejs,natural,openLayers,c,a,b
19,c,a,b,3,0,2,1,2,1,4,3,threejs,d3,openLayers,natural,c,a,b
20,b,a,c,2,3,1,0,3,2,4,1,natural,threejs,openLayers,d3,a,b,c
21,c,a,b,0,1,3,2,1,4,2,3,d3,openLayers,threejs,natural,a,c,b
22,b,c,a,2,3,1,0,4,3,2,1,openLayers,natural,threejs,d3,c,a,b
23,a,b,c,3,0,2,1,4,1,2,3,openLayers,d3,threejs,natural,b,c,a
24,a,b,c,1,2,0,3,2,4,3,1,threejs,openLayers,natural,d3,c,b,a
25,c,b,a,0,1,3,2,4,3,2,1,openLayers,natural,threejs,d3,b,a,c
26,b,a,c,0,1,3,2,4,1,3,2,openLayers,d3,natural,threejs,c,b,a
27,a,c,b,2,3,1,0,4,3,2,1,openLayers,natural,threejs,d3,c,a,b
28,a,c,b,1,2,0,3,1,2,3,4,d3,threejs,natural,openLayers,a,c,b
29,b,c,a,3,0,2,1,2,3,4,1,threejs,natural,openLayers,d3,b,a,c
30,c,b,a,2,3,1,0,1,4,2,3,d3,openLayers,threejs,natural,a,b,c
31,b,a,c,1,2,0,3,2,1,4,3,threejs,d3,openLayers,natural,a,b,c
32,c,a,b,2,3,1,0,2,3,4,1,threejs,natural,openLayers,d3,b,a,c
33,a,c,b,0,1,3,2,4,2,3,1,openLayers,threejs,natural,d3,b,c,a
34,c,a,b,3,0,2,1,4,3,1,2,openLayers,natural,d3,threejs,b,a,c
35,b,a,c,2,3,1,0,2,4,1,3,threejs,openLayers,d3,natural,c,b,a
36,a,b,c,3,0,2,1,1,4,3,2,d3,openLayers,natural,threejs,b,c,a
37,b,c,a,1,2,0,3,1,4,2,3,d3,openLayers,threejs,natural,b,c,a
38,c,a,b,1,2,0,3,1,2,3,4,d3,threejs,natural,openLayers,b,c,a
39,a,b,c,2,3,1,0,2,3,4,1,threejs,natural,openLayers,d3,a,c,b
40,b,c,a,2,3,1,0,2,4,1,3,threejs,openLayers,d3,natural,c,b,a
41,c,b,a,3,0,2,1,2,4,1,3,threejs,openLayers,d3,natural,a,c,b
42,c,a,b,0,1,3,2,2,3,1,4,threejs,natural,d3,openLayers,c,a,b
43,c,b,a,1,2,0,3,2,1,4,3,threejs,d3,openLayers,natural,c,b,a
44,a,c,b,3,0,2,1,1,4,3,2,d3,openLayers,natural,threejs,c,a,b
45,b,c,a,0,1,3,2,2,3,4,1,threejs,natural,openLayers,d3,b,a,c
46,a,b,c,0,1,3,2,2,1,3,4,threejs,d3,natural,openLayers,b,c,a
47,b,a,c,3,0,2,1,4,2,1,3,openLayers,threejs,d3,natural,b,c,a
48,a,b,c,1,2,0,3,2,4,1,3,threejs,openLayers,d3,natural,b,a,c
49,c,a,b,2,3,1,0,3,1,4,2,natural,d3,openLayers,threejs,b,c,a
50,b,a,c,1,2,0,3,1,3,2,4,d3,natural,threejs,openLayers,b,a,c
51,c,a,b,0,1,3,2,4,1,2,3,openLayers,d3,threejs,natural,c,a,b
52,c,a,b,3,0,2,1,4,3,1,2,openLayers,natural,d3,threejs,a,c,b
53,a,c,b,3,0,2,1,3,4,2,1,natural,openLayers,threejs,d3,c,b,a
54,c,b,a,1,2,0,3,3,1,2,4,natural,d3,threejs,openLayers,a,c,b
55,b,c,a,2,3,1,0,3,1,4,2,natural,d3,openLayers,threejs,b,c,a
56,b,c,a,1,2,0,3,2,1,3,4,threejs,d3,natural,openLayers,a,c,b
57,b,c,a,0,1,3,2,2,1,3,4,threejs,d3,natural,openLayers,b,c,a
58,b,a,c,2,3,1,0,3,2,4,1,natural,threejs,openLayers,d3,a,b,c
59,a,b,c,2,3,1,0,2,4,3,1,threejs,openLayers,natural,d3,c,b,a
60,a,c,b,0,1,3,2,3,1,2,4,natural,d3,threejs,openLayers,c,b,a
61,b,c,a,3,0,2,1,2,1,4,3,threejs,d3,openLayers,natural,b,c,a
62,a,b,c,3,0,2,1,3,2,4,1,natural,threejs,openLayers,d3,c,a,b
63,c,b,a,0,1,3,2,3,1,4,2,natural,d3,openLayers,threejs,c,b,a
64,b,a,c,0,1,3,2,4,2,1,3,openLayers,threejs,d3,natural,a,c,b
65,b,a,c,3,0,2,1,3,4,1,2,natural,openLayers,d3,threejs,c,b,a
66,a,c,b,2,3,1,0,1,3,2,4,d3,natural,threejs,openLayers,b,c,a
67,a,b,c,1,2,0,3,1,3,4,2,d3,natural,openLayers,threejs,a,b,c
68,a,c,b,1,2,0,3,1,3,2,4,d3,natural,threejs,openLayers,c,a,b
69,c,b,a,2,3,1,0,4,1,2,3,openLayers,d3,threejs,natural,b,c,a
70,c,b,a,3,0,2,1,2,4,3,1,threejs,openLayers,natural,d3,c,b,a
71,c,a,b,1,2,0,3,1,4,2,3,d3,openLayers,threejs,natural,a,c,b
72,a,b,c,0,1,3,2,2,1,3,4,threejs,d3,natural,openLayers,b,a,c
